round_epochs,val_acc,val_loss,loss,acc,activation,optimizer,batch_size,last_activation,hidden_layers,first_neuron,dropout
25,0.4744,1.500555605951945,1.3659426169531685,0.5177714285578047,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,0,256,0
17,0.46140000003178916,1.5370715153376262,1.4699374350411551,0.47811428569384984,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,2,512,0.1
17,0.2975333333492279,1.9483421207427978,2.0583061927250452,0.20342857143878937,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,0,128,0.5
18,0.45560000001589457,1.5590923787434896,1.5927555551528931,0.43734285708836146,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,2,256,0.5
16,0.4730666666348775,1.537622307395935,1.3892113871438163,0.508857142829895,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,0,128,0
16,0.38593333333333335,1.7514481149673462,1.876808601951599,0.3113714285850525,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,128,softmax,0,256,0.5
12,0.4224,1.6439269219080608,1.7234758654458182,0.37937142855780465,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,1,128,0.5
16,0.4587999999841054,1.5710512823104859,1.5848096290043423,0.43991428572790964,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,0,256,0.2
11,0.4201333334604899,1.6343916994730632,1.6821751036235264,0.4007142856870379,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,2,512,0.3
22,0.41093333331743875,1.6913573048273722,1.7736073026384627,0.35748571429933823,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,128,softmax,2,256,0.4
8,0.42026666668256124,1.625195173708598,1.6510787767410278,0.4111714285782405,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,64,softmax,2,512,0.3
10,0.43866666669845583,1.5808832839330038,1.6222720524924141,0.4232285714149475,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,128,softmax,1,256,0.4
22,0.4382000000158946,1.622662158203125,1.6968960928508214,0.3907142857551575,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Nadam'>,256,softmax,2,512,0.4
29,0.5110666666189829,1.423897994041443,1.267336126599993,0.5498285715784346,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Nadam'>,256,softmax,0,256,0.1
12,0.4558,1.5528626288731893,1.5301766381127493,0.4566571428503309,<function elu at 0x7fbfe1300048>,<class 'keras.optimizers.Adam'>,64,softmax,1,256,0.2
21,0.46420000012715656,1.560656124941508,1.428396811567034,0.4979142857347216,<function relu at 0x7fbfe1300268>,<class 'keras.optimizers.Adam'>,256,softmax,0,512,0
